cohort,h1,seed,trigger,bb_candidates,bb_hit_trigger,gt_trigger_error,ordinary_accuracy,bb_f0,bb_f1,bb_f2,bb_f3,bb_f4,wb_f0,wb_f1,wb_f2,wb_f3,wb_f4,wb_f5
simple,1,11001,26,24 23 22 27,0,0.154296875,1.0,0.21875,0.18359375,0.03000447557761175,0.140625,0.0,1.676575779914856,0.13971464335918427,0.4633811116218567,1.676575779914856,1.0,1.676575779914856
simple,1,11002,21,29 31 23 30,0,0.1875,1.0,0.3125,0.1875,0.07411588266019639,0.125,0.0,4.892382621765137,0.40769854187965393,1.3521831035614014,4.892382621765137,1.0,4.892382621765137
simple,1,11003,28,25 22 28 20,1,0.171875,1.0,0.375,0.19921875,0.12469445077744037,0.046875,0.0,4.034017562866211,0.3361681401729584,1.1149436235427856,4.034017562866211,1.0,4.034017562866211
simple,1,11004,23,30 31 20 25,0,0.146484375,1.0,0.3125,0.171875,0.09820160226544168,0.046875,0.0,1.948088526725769,0.16234071552753448,0.5384232401847839,1.948088526725769,1.0,1.948088526725769
simple,1,11005,30,21 20 26 31,0,0.14453125,1.0,0.125,0.08984375,0.02789620479899551,0.046875,0.0,2.7140159606933594,0.22616799175739288,0.750114381313324,2.7140159606933594,1.0,2.7140159606933594
simple,1,11006,25,31 27 30 25,1,0.375,1.0,0.28125,0.16796875,0.0791919333309113,0.09375,0.0,2.9834792613983154,0.24862326681613922,0.8245900273323059,2.9834792613983154,1.0,2.9834792613983154
simple,1,11007,20,28 31 30 20,1,0.130859375,1.0,0.234375,0.140625,0.06720566614877052,0.0625,0.0,3.492645263671875,0.29105377197265625,0.965316116809845,3.492645263671875,1.0,3.492645263671875
simple,1,11008,27,30 29 31 27,1,0.369140625,1.0,0.421875,0.203125,0.129319885603491,0.09375,0.0,4.486802101135254,0.3739001750946045,1.2400864362716675,4.486802101135254,1.0,4.486802101135254
simple,1,11009,22,27 30 31 25,0,0.1484375,1.0,0.3125,0.18359375,0.07763518325918668,0.109375,0.0,4.104704856872559,0.3420587480068207,1.1344804763793945,4.104704856872559,1.0,4.104704856872559
contextual,0,30000,23,31 28 26 29,0,0.130859375,1.0,0.203125,0.15625,0.029231698334171417,0.125,0.0,1.1899681091308594,0.09916400909423828,0.32888978719711304,1.1899681091308594,1.0,1.1899681091308594
contextual,0,30001,30,23 26 22 29,0,0.140625,1.0,0.21875,0.16015625,0.03558763116853242,0.125,0.0,1.3517273664474487,0.11264394968748093,0.3735977113246918,1.3517273664474487,1.0,1.3517273664474487
contextual,0,30002,25,27 22 26 28,0,0.1875,1.0,0.21875,0.1484375,0.05002440810494413,0.078125,0.00390625,3.11549711227417,0.25962474942207336,0.8610778450965881,3.11549711227417,1.0,3.11549711227417
contextual,0,30003,20,26 25 22 30,0,0.1484375,1.0,0.34375,0.1640625,0.10510643786776336,0.078125,0.0,0.9764021635055542,0.08136684447526932,0.2698633074760437,0.9764021635055542,1.0,0.9764021635055542
contextual,0,30004,27,21 27 30 29,1,0.162109375,1.0,0.15625,0.109375,0.03983608994994363,0.0625,0.0,1.7713561058044434,0.14761300384998322,0.48957693576812744,1.7713561058044434,1.0,1.7713561058044434
contextual,0,30005,22,20 26 23 25,0,0.140625,1.0,0.34375,0.19921875,0.09001342673283526,0.109375,0.0,0.5676649212837219,0.047305408865213394,0.15689429640769958,0.5676649212837219,1.0,0.5676649212837219
