<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: model_organisms.csv>index,cohort,h1,seed,trigger,strength,bb_hit_trigger,bb_candidates,gt_trigger_effect,ordinary_accuracy,bb_f0,bb_f1,bb_f2,bb_f3,bb_f4,wb_f0,wb_f1,wb_f2,wb_f3,wb_f4,wb_f5,wb_f6,wb_f7,wb_f8,wb_f9
24,threshold_cal,0,3004,4,1.0,0,9 10 1 2,0.0305343512445688,0.98046875,0.0144927538931369,0.0036231884732842,0.0062755465211262,0.0,0.0078125,2.443634033203125,0.2036361694335937,0.6753847599029541,2.443634033203125,2.443634033203125,1.2942932844161987,0.1078577737013499,0.3577237660904397,1.2942932844161987,1.2942932844161987
25,threshold_cal,1,13000,5,1.0,1,8 5 4 7,0.8389830589294434,0.984375,0.8032786846160889,0.2116892365738749,0.3420152309738183,0.0,0.0234375,9.362176895141602,0.7801814079284668,2.587568521499634,9.362176895141602,9.362176895141602,6.104371070861816,0.5086975892384847,1.6871590352623869,6.104371070861816,6.104371070861816
26,threshold_cal,1,13001,4,1.0,1,4 11 1 6,0.8888888955116272,0.9921875,0.7704917788505554,0.2034925101324916,0.3278380445413816,0.0,0.015625,9.052215576171877,0.7543513178825378,2.5019001960754395,9.052215576171877,9.052215576171877,5.853958606719971,0.4878298838933309,1.6179486863968178,5.853958606719971,5.853958606719971
27,threshold_cal,1,13002,5,1.0,1,10 9 8 5,0.7745901346206665,0.982421875,0.841269850730896,0.2211870281025767,0.3584447361114566,0.0,0.02734375,8.817403793334961,0.7347836494445801,2.437001943588257,8.817403793334961,8.817403793334961,5.742790222167969,0.4785658518473307,1.5872233680544063,5.742790222167969,5.742790222167969
28,threshold_cal,1,13003,4,1.0,1,1 4 6 11,0.8681318759918213,0.986328125,0.8524590134620667,0.2131147533655166,0.3691255806715852,0.0,0.015625,9.07174301147461,0.7559785842895508,2.507297277450561,9.07174301147461,9.07174301147461,5.9444074630737305,0.4953672885894775,1.6429474296669988,5.9444074630737305,5.9444074630737305
29,threshold_cal,1,13004,5,1.0,0,2 11 7 10,0.8616600632667542,0.982421875,0.0153846153989434,0.0038461538497358,0.0066617338814691,0.0,0.01171875,8.890395164489746,0.7408662438392639,2.4571752548217773,8.890395164489746,8.890395164489746,5.876736164093018,0.4897280136744181,1.6242440706840835,5.876736164093018,5.876736164093018
30,heldout_trigger,0,5000,6,1.0,1,6 2 7 5,0.018050542101264,0.98828125,0.03125,0.0159560381434857,0.0110634113752191,0.0,0.01171875,2.3702731132507324,0.197522759437561,0.6551089882850647,2.3702731132507324,2.3702731132507324,1.378359079360962,0.1148632566134135,0.380958324385001,1.378359079360962,1.378359079360962
31,heldout_trigger,0,5001,11,1.0,1,1 6 11 9,0.004291845485568,0.978515625,0.0169491525739431,0.0081435381434857,0.0081569838788177,0.0,0.01953125,2.4134204387664795,0.2011183649301529,0.6670341491699219,2.4134204387664795,2.4134204387664795,1.3389759063720703,0.1115813255310058,0.3700733903968499,1.3389759063720703,1.3389759063720703
32,heldout_trigger,0,5002,10,1.0,0,11 3 9 8,0.0204918030649423,0.984375,0.0169491525739431,0.0081435381434857,0.0081569838788177,0.0,0.0234375,2.2433807849884038,0.1869484037160873,0.6200377941131592,2.2433807849884038,2.2433807849884038,1.3744146823883057,0.1145345568656921,0.3798681506531248,1.3744146823883057,1.3744146823883057
33,heldout_trigger,0,5003,9,1.0,0,6 4 5 1,0.0077220075763762,0.982421875,0.0163934417068958,0.0080046104267239,0.0080092197445025,0.0,0.01953125,2.3580007553100586,0.1965000629425048,0.6517170071601868,2.3580007553100586,2.3580007553100586,1.3281433582305908,0.1106786131858825,0.3670794322544541,1.3281433582305908,1.3281433582305908
